ID,price,year,baths,sqft,Community Type,Number of Ammenities,Living Area,Total Area,Total Floors,Garage Spaces,Bedrooms
1," $899,000 ",2022,3,"2,266",Gated,8,"2,266","2,882",2,2,3
2," $699,995 ",2024,3,"2,242",Gated,4,"2,242","2,940",2,2,6
3," $699,000 ",2022,3,"2,243",Gated,8,"2,243","2,940",2,2,4
4," $595,000 ",2022,2,"1,569",Gated,4,"1,569","1,965",1,2,2
5," $599,995 ",2024,2,"1,643",Gated,6,"1,643","2,261",1,2,3
6," $589,995 ",2023,2,"1,575",Gated,6,"1,575","2,273",1,2,2
7," $850,000 ",2022,3,"2,242",Gated,8,"2,242","3,242",2,2,3
8," $759,000 ",2021,2,"1,643",Gated,8,"1,643","2,273",1,2,2
9," $510,000 ",2016,2,"1,724",Gated,11,"1,724","2,105",1,2,2
10," $725,995 ",2024,2,"1,575",Gated,6,"1,575","2,273",1,2,3
11," $649,995 ",2023,2,"1,575",Gated,6,"1,575","2,273",1,2,3
12," $649,000 ",1992,2,"1,610",Gated,5,"1,610","1,962",1,2,3
13," $1,699,000 ",2003,3,"3,564",Non-Gated,1,"3,564","4,274",1,2,4
14," $1,650,000 ",2003,3,"1,750",Non-Gated,1,"1,750","2,625",2,2,2
15," $2,999,000 ",2018,3,"4,358",No Subdivision,1,"4,358","5,056",1,2,4
16," $889,000 ",1975,2,"1,923",No Subdivision,1,"1,923","3,043",1,2,3
17," $37,950,000 ",2022,3,"10,370",Non-Gated,3,"10,370","13,914",1,22,1
18," $889,000 ",1991,1,"1,632",Non-Gated,7,"1,632","2,106",2,3,3
19," $365,000 ",2006,2,"1,246",Gated,10,"1,246","1,321",4,1,3
20," $375,000 ",2006,2,"1,126",Gated,11,"1,126","1,214",1,1,3
21," $399,900 ",2006,2,"1,246",Gated,4,"1,246","1,321",1,1,3
22," $825,000 ",2013,3,"2,088",Gated,9,"2,088","2,745",1,2,3
23," $820,000 ",2014,3,"1,859",Gated,5,"1,859","2,256",1,2,3
24," $749,000 ",2007,2,"2,324",Gated,12,"2,324","3,081",2,2,3
25," $749,000 ",2016,3,"2,088",Gated,7,"2,088","2,745",1,2,3
26," $705,000 ",2014,3,"1,868",Gated,8,"1,868","2,276",1,2,3
27," $719,000 ",2007,2,"1,797",Non-Gated,8,"1,797","2,155",1,2,3
28," $1,850,000 ",2013,3,"3,402",Gated,9,"3,402","4,788",1,3,5
29," $1,639,000 ",2007,3,"3,002",Gated,9,"3,002","4,500",1,2,5
30," $1,100,000 ",2001,3,"2,209",Gated,9,"2,209","2,209",1,2,4
31," $749,000 ",1992,2,"1,467",Gated,11,"1,467","1,872",1,2,3
32," $775,000 ",2001,2,"1,846",Gated,10,"1,846","2,228",1,2,3
33," $1,050,000 ",2005,3,"2,305",Gated,11,"2,305","3,986",1,2,4
34," $1,295,000 ",2009,3,"2,430",Gated,12,"2,430","2,904",1,2,4
35," $545,000 ",2020,2,"1,509",Gated,14,"1,509","1,988",1,1,3
36," $537,900 ",2021,2,"1,549",Gated,14,"1,549","1,713",1,2,3
37," $750,000 ",2005,2,"1,769",Gated,12,"1,769","2,139",1,2,3
38," $965,000 ",2002,4,"2,370",Gated,11,"2,370","3,695",1,2,1
39," $21,995,000 ",2024,5,"6,459",Non-Gated,1,"6,459","8,777",2,3,5
40," $14,995,000 ",2024,4,"5,818",Non-Gated,2,"5,818","7,426",2,5,5
41," $29,000,000 ",2024,6,"8,890",Non-Gated,1,"8,890","12,062",2,5,5
42," $11,995,000 ",2023,6,"4,982",Non-Gated,1,"4,982","6,682",2,2,5
43," $21,995,000 ",2023,5,"7,385",Non-Gated,2,"7,385","10,558",2,4,5
44," $498,000 ",2007,2,"1,938",Gated,11,"1,938","2,448",2,1,3
45," $425,000 ",2016,2,"1,804",Gated,8,"1,804","2,414",2,2,3
46," $448,800 ",2016,2,"1,779",Gated,8,"1,779","2,300",2,2,3
47," $499,000 ",2016,2,"1,945",Gated,8,"1,945","2,414",2,2,3
48," $478,000 ",2016,2,"1,945",Gated,13,"1,945","2,520",2,2,3
49," $469,000 ",2015,2,"1,779",Gated,11,"1,779","2,300",2,2,2
50," $399,000 ",2007,2,"1,467",Gated,13,"1,467","2,000",2,1,3
51," $895,000 ",2003,2,"2,389",Gated,4,"2,389","3,139",2,2,5
52," $890,000 ",2004,3,"2,098",Gated,3,"2,098","3,469",2,2,3
53," $1,250,000 ",2023,2,"1,793",Non-Gated,1,"1,793","2,601",1,2,3
54," $624,900 ",2023,2,"1,720",Gated,6,"1,720","2,440",2,2,3
55," $829,000 ",2003,3,"2,100",Gated,1,"2,100","2,600",2,2,3
56," $799,900 ",2004,2,"2,467",Gated,3,"2,467","6,777",1,2,3
57," $950,000 ",2018,3,"2,032",Gated,14,"2,032","4,780",1,2,4
58," $849,000 ",2019,3,"2,215",Gated,17,"2,215","2,614",1,2,3
59," $735,900 ",2018,2,"1,908",Gated,17,"1,908","2,339",1,2,2
60," $625,000 ",2015,2,"1,848",Gated,14,"1,848","2,252",1,2,2
61," $620,800 ",2015,2,"1,573",Gated,12,"1,573","4,435",1,2,4
62," $610,000 ",2015,3,"2,100",Gated,13,"2,100","2,384",2,2,3
63," $599,000 ",2015,3,"2,115",Gated,18,"2,115","2,949",2,2,3
64," $899,000 ",2019,3,"3,231",Gated,15,"3,231","4,972",2,3,5
65," $1,250,000 ",2016,3,"2,420",Gated,15,"2,420","3,154",1,2,4
66," $1,099,995 ",2018,3,"3,231",Gated,11,"3,231","4,972",2,3,5
67," $899,000 ",2016,3,"2,506",Gated,21,"2,506","3,177",1,2,3
68," $699,900 ",2015,3,"2,414",Gated,12,"2,414","3,344",2,2,3
69," $479,900 ",2018,2,"1,564",Gated,17,"1,564","2,154",1,2,2
70," $949,000 ",2013,2,"2,587",Gated,1,"2,587","2,587",2,2,4
71," $5,465,000 ",2023,5,"4,346",Gated,19,"4,346","6,417",1,3,4
72," $4,380,000 ",2002,4,"5,432",Gated,15,"5,432","8,046",2,3,4
73," $2,150,000 ",1994,3,"3,374",Gated,15,"3,374","6,273",1,2,3
74," $2,099,000 ",1992,3,"3,153",Gated,13,"3,153","3,619",1,2,4
75," $499,000 ",1998,2,"1,570",Gated,13,"1,570","1,570",2,1,2
76," $514,900 ",1998,2,"1,616",Gated,15,"1,616","1,954",1,1,3
77," $799,000 ",2000,2,"1,821",Gated,15,"1,821","3,661",1,2,3
78," $1,295,000 ",1999,3,"3,400",Gated,14,"3,400","3,523",2,2,5
79," $1,200,000 ",1998,2,"2,327",Gated,9,"2,327","2,806",1,2,3
80," $895,000 ",2000,2,"1,760",Gated,11,"1,760","2,437",1,2,2
81," $895,000 ",1997,2,"2,114",Gated,13,"2,114","2,444",1,2,3
82," $765,000 ",1999,2,"1,584",Gated,14,"1,584","2,417",1,2,2
83," $459,900 ",1997,2,"1,570",Gated,14,"1,570","2,402",1,1,2
84," $11,750,000 ",2023,5,"5,204",Non-Gated,1,"5,204","7,250",1,4,5
85," $1,395,000 ",2017,3,"2,948",Gated,3,"2,948","3,474",2,2,6
86," $1,000,000 ",2018,2,"2,466",Gated,4,"2,466","3,066",2,2,4
87," $975,000 ",2015,3,"2,384",Gated,9,"2,384","3,470",1,3,3
88," $1,279,000 ",2015,3,"2,384",Gated,9,"2,384","3,470",1,3,3
89," $800,000 ",2013,2,"1,911",Gated,10,"1,911","2,340",1,2,3
90," $699,000 ",2002,3,"2,302",Gated,10,"2,302","3,185",1,2,4
91," $749,900 ",2000,2,"1,996",Gated,10,"1,996","2,081",1,2,3
92," $530,000 ",1999,2,"1,548",Gated,7,"1,548","1,548",1,2,2
93," $369,000 ",2005,2,"1,407",Non-Gated,6,"1,407","1,407",2,1,2
94," $679,000 ",1992,2,"1,966",Non-Gated,4,"1,966","2,195",1,2,3
95," $3,200,000 ",2022,4,"4,188",No Subdivision,1,"4,188","6,661",1,6,3
96," $1,345,000 ",2024,3,"2,366",Gated,12,"2,366","3,363",1,2,6
97," $769,000 ",1985,1,"1,119",No Subdivision,1,"1,119","1,712",1,1,2
98," $1,547,868 ",2024,4,"3,835",Gated,14,"3,835","5,464",2,2,4
99," $1,520,069 ",2024,4,"3,363",Gated,12,"3,363","3,363",2,2,4
100," $849,000 ",2005,3,"3,021",Gated,12,"3,021","3,685",1,2,3
101," $729,000 ",2002,2,"1,765",Gated,17,"1,765","2,429",1,2,3
102," $749,900 ",2001,2,"1,705",Gated,14,"1,705","1,705",1,2,2
103," $645,000 ",1984,2,"1,500",Gated,8,"1,500","1,500",1,1,2
104," $599,000 ",1993,3,"2,025",Gated,6,"2,025","2,845",2,2,5
105," $1,500,000 ",1987,2,"1,328",Gated,1,"1,328","1,450",1,1,3
106," $1,680,000 ",2004,3,"3,102",Non-Gated,3,"3,102","4,127",2,3,5
107," $2,650,000 ",2020,4,"4,610",Gated,3,"4,610","5,737",2,2,5
108," $989,900 ",2019,2,"1,404",Non-Gated,3,"1,404","1,764",2,1,3
109," $849,000 ",1985,2,"2,260",Non-Gated,1,"2,260","2,681",1,2,3
110," $599,900 ",1967,2,"1,806",Non-Gated,3,"1,806","2,206",1,2,4
111," $950,000 ",1977,2,"1,505",Non-Gated,8,"1,505","1,856",1,2,3
112," $899,900 ",1986,2,"1,499",Gated,9,"1,499","1,635",1,1,2
113," $798,000 ",1986,2,"1,359",Gated,9,"1,359","1,359",1,1,2
114," $1,100,000 ",1987,2,"1,660",Gated,8,"1,660","1,660",1,2,3
115," $819,900 ",1986,2,"1,359",Gated,9,"1,359","1,359",1,1,2
116," $3,445,000 ",1998,3,"4,314",Gated,18,"4,314","7,235",2,3,2
117," $2,900,000 ",1998,4,"3,265",Gated,18,"3,265","4,635",1,3,3
118," $2,800,000 ",1995,4,"3,943",Gated,18,"3,943","7,451",2,3,3
119," $1,499,000 ",2020,4,"4,859",Gated,3,"4,859","9,148",2,3,7
120," $1,390,000 ",2020,4,"3,753",Gated,5,"3,753","4,748",2,3,4
121," $1,295,000 ",2017,3,"3,445",Gated,5,"3,445","4,447",1,3,4
122," $949,995 ",2017,2,"2,187",Gated,10,"2,187","2,637",1,2,3
123," $749,900 ",2017,2,"2,422",Gated,9,"2,422","2,799",1,2,3
124," $1,100,000 ",2019,3,"2,947",Gated,10,"2,947","3,073",2,2,3
125," $759,000 ",2021,3,"2,051",Gated,10,"2,051","2,458",1,2,2
126," $710,000 ",2017,2,"1,993",Gated,9,"1,993","2,754",1,2,3
127," $709,000 ",2020,2,"1,998",Gated,7,"1,998","2,700",1,2,3
